No,Title,Link,Tags,Acceptance,Difficulty,Frequency
855,Exam Room,https://leetcode.com/problems/exam-room/description/,[Design][Heap (Priority Queue)][Ordered Set],43.3%,Medium,0
761,Special Binary String,https://leetcode.com/problems/special-binary-string/description/,[String][Recursion],60.9%,Hard,0
1309,Decrypt String from Alphabet to Integer Mapping,https://leetcode.com/problems/decrypt-string-from-alphabet-to-integer-mapping/description/,[String],79.6%,Easy,0
2992,Number of Self-Divisible Permutations,https://leetcode.com/problems/number-of-self-divisible-permutations/description/,[Array][Dynamic Programming][Bit Manipulation][Recursion][Bitmask],76.8%,Medium,0
