No,Title,Link,Tags,Acceptance,Difficulty,Frequency
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/description/,[Hash Table][String][Sliding Window],34.5%,Medium,0
812,Largest Triangle Area,https://leetcode.com/problems/largest-triangle-area/description/,[Array][Math][Geometry],60.3%,Easy,0
875,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/description/,[Array][Binary Search],49.0%,Medium,0
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/description/,[String][Dynamic Programming][Backtracking],74.2%,Medium,0
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/description/,[Array][Two Pointers][Greedy],54.9%,Medium,0
994,Rotting Oranges,https://leetcode.com/problems/rotting-oranges/description/,[Array][Breadth-First Search][Matrix],53.9%,Medium,0
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/,[Array][Dynamic Programming],53.5%,Easy,0
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/description/,[Array][Sorting],47.1%,Medium,0
1457,Pseudo-Palindromic Paths in a Binary Tree,https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree/description/,[Bit Manipulation][Tree][Depth-First Search][Breadth-First Search][Binary Tree],68.5%,Medium,0
458,Poor Pigs,https://leetcode.com/problems/poor-pigs/description/,[Math][Dynamic Programming][Combinatorics],59.9%,Hard,0
1239,Maximum Length of a Concatenated String with Unique Characters,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters/description/,[Array][String][Backtracking][Bit Manipulation],54.1%,Medium,0
343,Integer Break,https://leetcode.com/problems/integer-break/description/,[Math][Dynamic Programming],60.2%,Medium,0
1814,Count Nice Pairs in an Array,https://leetcode.com/problems/count-nice-pairs-in-an-array/description/,[Array][Hash Table][Math][Counting],49.2%,Medium,0
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/description/,[Two Pointers][Design][Sorting][Heap (Priority Queue)][Data Stream],51.8%,Hard,0
587,Erect the Fence,https://leetcode.com/problems/erect-the-fence/description/,[Array][Math][Geometry],51.9%,Hard,0
2742,Painting the Walls,https://leetcode.com/problems/painting-the-walls/description/,[Array][Dynamic Programming],51.1%,Hard,0
