No,Title,Link,Tags,Acceptance,Difficulty,Frequency
655,Print Binary Tree,https://leetcode.com/problems/print-binary-tree/description/,[Tree][Depth-First Search][Breadth-First Search][Binary Tree],63.1%,Medium,0
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/description/,[Array][Dynamic Programming][Stack][Matrix][Monotonic Stack],46.7%,Hard,0
642,Design Search Autocomplete System,https://leetcode.com/problems/design-search-autocomplete-system/description/,[String][Design][Trie][Data Stream],48.9%,Hard,0
759,Employee Free Time,https://leetcode.com/problems/employee-free-time/description/,[Array][Sorting][Heap (Priority Queue)],72.0%,Hard,0
1062,Longest Repeating Substring,https://leetcode.com/problems/longest-repeating-substring/description/,[String][Binary Search][Dynamic Programming][Rolling Hash][Suffix Array][Hash Function],60.3%,Medium,0
2982,Find Longest Special Substring That Occurs Thrice II,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii/description/,[Hash Table][String][Binary Search][Sliding Window][Counting],32.4%,Medium,0
1793,Maximum Score of a Good Subarray,https://leetcode.com/problems/maximum-score-of-a-good-subarray/description/,[Array][Two Pointers][Binary Search][Stack][Monotonic Stack],64.6%,Hard,0
2131,Longest Palindrome by Concatenating Two Letter Words,https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words/description/,[Array][Hash Table][String][Greedy][Counting],48.0%,Medium,0
1146,Snapshot Array,https://leetcode.com/problems/snapshot-array/description/,[Array][Hash Table][Binary Search][Design],37.1%,Medium,0
1930,Unique Length-3 Palindromic Subsequences,https://leetcode.com/problems/unique-length-3-palindromic-subsequences/description/,[Hash Table][String][Bit Manipulation][Prefix Sum],66.1%,Medium,0
721,Accounts Merge,https://leetcode.com/problems/accounts-merge/description/,[Array][Hash Table][String][Depth-First Search][Breadth-First Search][Union Find][Sorting],56.9%,Medium,0
834,Sum of Distances in Tree,https://leetcode.com/problems/sum-of-distances-in-tree/description/,[Dynamic Programming][Tree][Depth-First Search][Graph],59.3%,Hard,0
406,Queue Reconstruction by Height,https://leetcode.com/problems/queue-reconstruction-by-height/description/,[Array][Binary Indexed Tree][Segment Tree][Sorting],73.3%,Medium,0
2316,Count Unreachable Pairs of Nodes in an Undirected Graph,https://leetcode.com/problems/count-unreachable-pairs-of-nodes-in-an-undirected-graph/description/,[Depth-First Search][Breadth-First Search][Union Find][Graph],49.7%,Medium,0
68,Text Justification,https://leetcode.com/problems/text-justification/description/,[Array][String][Simulation],42.7%,Hard,0
1048,Longest String Chain,https://leetcode.com/problems/longest-string-chain/description/,[Array][Hash Table][Two Pointers][String][Dynamic Programming],61.0%,Medium,0
388,Longest Absolute File Path,https://leetcode.com/problems/longest-absolute-file-path/description/,[String][Stack][Depth-First Search],47.1%,Medium,0
446,Arithmetic Slices II - Subsequence,https://leetcode.com/problems/arithmetic-slices-ii-subsequence/description/,[Array][Dynamic Programming],54.6%,Hard,0
329,Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/description/,[Array][Dynamic Programming][Depth-First Search][Breadth-First Search][Graph][Topological Sort][Memoization][Matrix],53.4%,Hard,0
690,Employee Importance,https://leetcode.com/problems/employee-importance/description/,[Array][Hash Table][Tree][Depth-First Search][Breadth-First Search],66.5%,Medium,0
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/description/,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.1%,Medium,0
2091,Removing Minimum and Maximum From Array,https://leetcode.com/problems/removing-minimum-and-maximum-from-array/description/,[Array][Greedy],54.8%,Medium,0
413,Arithmetic Slices,https://leetcode.com/problems/arithmetic-slices/description/,[Array][Dynamic Programming],65.0%,Medium,0
685,Redundant Connection II,https://leetcode.com/problems/redundant-connection-ii/description/,[Depth-First Search][Breadth-First Search][Union Find][Graph],34.3%,Hard,0
729,My Calendar I,https://leetcode.com/problems/my-calendar-i/description/,[Binary Search][Design][Segment Tree][Ordered Set],56.6%,Medium,0
2035,Partition Array Into Two Arrays to Minimize Sum Difference,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/description/,[Array][Two Pointers][Binary Search][Dynamic Programming][Bit Manipulation][Ordered Set][Bitmask],20.0%,Hard,0
2013,Detect Squares,https://leetcode.com/problems/detect-squares/description/,[Array][Hash Table][Design][Counting],50.7%,Medium,0
490,The Maze,https://leetcode.com/problems/the-maze/description/,[Array][Depth-First Search][Breadth-First Search][Matrix],57.6%,Medium,0
2007,Find Original Array From Doubled Array,https://leetcode.com/problems/find-original-array-from-doubled-array/description/,[Array][Hash Table][Greedy][Sorting],40.5%,Medium,0
1352,Product of the Last K Numbers,https://leetcode.com/problems/product-of-the-last-k-numbers/description/,[Array][Math][Design][Queue][Data Stream],50.8%,Medium,0
1768,Merge Strings Alternately,https://leetcode.com/problems/merge-strings-alternately/description/,[Two Pointers][String],79.5%,Easy,0
980,Unique Paths III,https://leetcode.com/problems/unique-paths-iii/description/,[Array][Backtracking][Bit Manipulation][Matrix],81.7%,Hard,0
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/description/,[Hash Table][String][Sliding Window],34.5%,Medium,0
1631,Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort/description/,[Array][Binary Search][Depth-First Search][Breadth-First Search][Union Find][Heap (Priority Queue)][Matrix],59.4%,Medium,0
410,Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum/description/,[Array][Binary Search][Dynamic Programming][Greedy][Prefix Sum],55.0%,Hard,0
862,Shortest Subarray with Sum at Least K,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/description/,[Array][Binary Search][Queue][Sliding Window][Heap (Priority Queue)][Prefix Sum][Monotonic Queue],26.0%,Hard,0
652,Find Duplicate Subtrees,https://leetcode.com/problems/find-duplicate-subtrees/description/,[Hash Table][Tree][Depth-First Search][Binary Tree],59.3%,Medium,0
200,Number of Islands,https://leetcode.com/problems/number-of-islands/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],58.5%,Medium,0
1630,Arithmetic Subarrays,https://leetcode.com/problems/arithmetic-subarrays/description/,[Array][Hash Table][Sorting],83.8%,Medium,0
2115,Find All Possible Recipes from Given Supplies,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies/description/,[Array][Hash Table][String][Graph][Topological Sort],49.4%,Medium,0
1254,Number of Closed Islands,https://leetcode.com/problems/number-of-closed-islands/description/,[Array][Depth-First Search][Breadth-First Search][Union Find][Matrix],66.4%,Medium,0
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/description/,[String][Dynamic Programming],33.7%,Medium,0
459,Repeated Substring Pattern,https://leetcode.com/problems/repeated-substring-pattern/description/,[String][String Matching],46.1%,Easy,0
1980,Find Unique Binary String,https://leetcode.com/problems/find-unique-binary-string/description/,[Array][Hash Table][String][Backtracking],74.5%,Medium,0
650,2 Keys Keyboard,https://leetcode.com/problems/2-keys-keyboard/description/,[Math][Dynamic Programming],54.0%,Medium,0
417,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/description/,[Array][Depth-First Search][Breadth-First Search][Matrix],55.1%,Medium,0
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/description/,[Two Pointers][Design][Sorting][Heap (Priority Queue)][Data Stream],51.8%,Hard,0
