No,Title,Link,Tags,Acceptance,Difficulty,Frequency
1383,Maximum Performance of a Team,https://leetcode.com/problems/maximum-performance-of-a-team/description/,[Array][Greedy][Sorting][Heap (Priority Queue)],47.9%,Hard,0
1992,Find All Groups of Farmland,https://leetcode.com/problems/find-all-groups-of-farmland/description/,[Array][Depth-First Search][Breadth-First Search][Matrix],68.3%,Medium,0
2840,Check if Strings Can be Made Equal With Operations II,https://leetcode.com/problems/check-if-strings-can-be-made-equal-with-operations-ii/description/,[Hash Table][String][Sorting],55.2%,Medium,0
2839,Check if Strings Can be Made Equal With Operations I,https://leetcode.com/problems/check-if-strings-can-be-made-equal-with-operations-i/description/,[String],46.7%,Easy,0
