No,Title,Link,Tags,Acceptance,Difficulty,Frequency
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/description/,[Array][Hash Table][Math][Design][Randomized],54.40%,Medium,0%
169,Majority Element,https://leetcode.com/problems/majority-element/description/,[Array][Hash Table][Divide and Conquer][Sorting][Counting],64.70%,Easy,0%
2235,Add Two Integers,https://leetcode.com/problems/add-two-integers/description/,[Math],87.60%,Easy,0%
343,Integer Break,https://leetcode.com/problems/integer-break/description/,[Math][Dynamic Programming],60.30%,Medium,0%
176,Second Highest Salary,https://leetcode.com/problems/second-highest-salary/description/,[Database],40.10%,Medium,0%
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/description/,[Array][Divide and Conquer][Dynamic Programming],50.70%,Medium,0%
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/description/,[Array][Matrix][Simulation],49.10%,Medium,0%
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/description/,[Array][Two Pointers][Greedy][Sorting][Heap (Priority Queue)][Prefix Sum],51.20%,Medium,0%
31,Next Permutation,https://leetcode.com/problems/next-permutation/description/,[Array][Two Pointers],39.70%,Medium,0%
48,Rotate Image,https://leetcode.com/problems/rotate-image/description/,[Array][Math][Matrix],74.00%,Medium,0%
273,Integer to English Words,https://leetcode.com/problems/integer-to-english-words/description/,[Math][String][Recursion],30.50%,Hard,0%
1347,Minimum Number of Steps to Make Two Strings Anagram,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/description/,[Hash Table][String][Counting],82.00%,Medium,0%
1041,Robot Bounded In Circle,https://leetcode.com/problems/robot-bounded-in-circle/description/,[Math][String][Simulation],55.60%,Medium,0%
1762,Buildings With an Ocean View,https://leetcode.com/problems/buildings-with-an-ocean-view/description/,[Array][Stack][Monotonic Stack],79.50%,Medium,0%
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/description/,[Math][Recursion],34.60%,Medium,0%
1207,Unique Number of Occurrences,https://leetcode.com/problems/unique-number-of-occurrences/description/,[Array][Hash Table],77.00%,Easy,0%
935,Knight Dialer,https://leetcode.com/problems/knight-dialer/description/,[Dynamic Programming],59.90%,Medium,0%
217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/description/,[Array][Hash Table][Sorting],61.50%,Easy,0%
767,Reorganize String,https://leetcode.com/problems/reorganize-string/description/,[Hash Table][String][Greedy][Sorting][Heap (Priority Queue)][Counting],54.50%,Medium,0%
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/description/,[Array][Binary Search],45.90%,Medium,0%
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/description/,[Linked List][Recursion],64.10%,Easy,0%
368,Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset/description/,[Array][Math][Dynamic Programming][Sorting],45.20%,Medium,0%
231,Power of Two,https://leetcode.com/problems/power-of-two/description/,[Math][Bit Manipulation][Recursion],47.70%,Easy,0%
2402,Meeting Rooms III,https://leetcode.com/problems/meeting-rooms-iii/description/,[Array][Hash Table][Sorting][Heap (Priority Queue)][Simulation],45.00%,Hard,0%
279,Perfect Squares,https://leetcode.com/problems/perfect-squares/description/,[Math][Dynamic Programming][Breadth-First Search],54.70%,Medium,0%
2877,Create a DataFrame from List,https://leetcode.com/problems/create-a-dataframe-from-list/description/,,80.90%,Easy,0%
